,y,x,osmid,highway,geometry
0,-33.0024865,-71.489226,299014946,,POINT (-71.489226 -33.0024865)
1,-33.0077367,-71.54094,264589564,,POINT (-71.54094000000001 -33.0077367)
2,-32.9962143,-71.4952657,1204202057,,POINT (-71.4952657 -32.9962143)
3,-33.0380076,-71.5592287,264566607,,POINT (-71.55922870000001 -33.0380076)
4,-32.982894,-71.5371637,1254020773,,POINT (-71.53716369999999 -32.982894)
5,-33.0146711,-71.5472772,254026352,,POINT (-71.5472772 -33.0146711)
6,-33.0211504,-71.4874364,2504235270,,POINT (-71.48743640000001 -33.0211504)
7,-32.9640259,-71.5197448,254834855,,POINT (-71.5197448 -32.9640259)
8,-33.0175623,-71.5000762,263619067,,POINT (-71.5000762 -33.0175623)
9,-33.0479631,-71.5316182,304179808,,POINT (-71.5316182 -33.0479631)
10,-33.0271473,-71.5159218,2873892914,,POINT (-71.5159218 -33.0271473)
11,-33.0365731,-71.5401007,3333170000,,POINT (-71.5401007 -33.0365731)
12,-33.0007401,-71.5193344,296039685,,POINT (-71.51933440000001 -33.0007401)
13,-33.0068843,-71.4952795,299013235,,POINT (-71.4952795 -33.0068843)
14,-32.9971982,-71.511871,3159227417,,POINT (-71.511871 -32.9971982)
15,-33.0535011,-71.5310564,1699306780,,POINT (-71.5310564 -33.0535011)
16,-33.0258595,-71.5289295,255181972,,POINT (-71.5289295 -33.0258595)
17,-33.0299511,-71.5585167,2297544198,,POINT (-71.5585167 -33.0299511)
18,-33.0346985,-71.5561193,259663552,,POINT (-71.55611930000001 -33.0346985)
19,-32.9899542,-71.5007679,703030541,,POINT (-71.5007679 -32.9899542)
20,-33.0055959,-71.5406474,5835393630,,POINT (-71.5406474 -33.0055959)
