DIRECCION,latitud,longitud,demanda,osmid
0,-33.4258704,-70.601941,0,5582460550
1,-33.5105401,-70.7883464,67,267001940
2,-33.5120141,-70.7168128,75,9494164859
3,-33.4767127,-70.5984071,146,7249307462
4,-33.3265459,-70.5061922,23,9146451604
5,-33.5021037,-70.6030845,27,3684165532
6,-33.3981314,-70.7436888,112,1754947315
7,-33.3865308,-70.5334778,101,9072392572
8,-33.4598636,-70.7615672,79,1278679189
9,-33.289332,-70.3544924,122,3197559215
10,-33.3507254,-70.6232084,143,4782005823
11,-33.3432156,-70.4833105,103,903706340
12,-33.4069351,-70.7054415,27,9643508292
13,-33.3673346,-70.6653277,142,4787266553
